name,nationality,birth_date,height,hand,rank,position,prize_money_year,prize_money_total,residence,birthplace,best_rank
Kaito Uesugi,JPN,2 Jun 1995,1.8,Right-Handed,,,997 €,25.5K €,,"Sakai, Japan",
Saketh Myneni,IND,19 Oct 1987,1.93,Right-Handed,81,447,3.3K €,300.5K €,"Visakhapatnam, India","Vuyyuru, India",137 in 12/09/2016
Enrico Becuzzi,,,,,,,,,,,
Laurent Lokoli,FRA,18 Oct 1994,1.88,Right-Handed,108,373,2.7K €,201.2K €,Route de Terriccio 20230,"Bastia, France",207 in 06/04/2015
Facundo Mena,ARG,22 Sep 1992,1.83,Right-Handed,236,238,15.9K €,149.4K €,Argentina,"Buenos Aires, Argentina",195 in 16/09/2019
Joris De Loore,BEL,21 Apr 1993,1.91,Right-Handed,,,,191K €,,"Bruges, Belgium",
Riccardo Bellotti,ITA,5 Aug 1991,,Right-Handed,,,,159.3K €,,"Vienna, Austria",
Amaury Delmas,FRA,1 Apr 1998,,,3,1433,,13.1K €,"Monte Carlo, Monaco",,1218 in 27/11/2017
Nuno Deus,POR,7 May 1995,1.83,,,,,24.9K €,,,
Kyle Edmund,GBR,8 Jan 1995,1.88,Right-Handed,1085,48,348.3K €,4.8M €,"Nassau, Bahamas","Johannesburg, South Africa",14 in 08/10/2018
Sherif Sabry,EGY,29 Aug 1986,,,,,,91.6K €,Republic of Egypt,,
Marcin Gawron,POL,25 May 1988,,,,,,130.1K €,,,
Alexander Lazov,BUL,9 Jul 1990,1.83,Left-Handed,,,540 €,93.5K €,Bulgaria,"Sofia, Bulgaria",
Alexandr Dolgopolov,UKR,7 Nov 1988,1.8,Right-Handed,,,,5.9M €,"Dubai, UAE","Kiev, Ukraine",
Radek Štěpánek,CZE,27 Nov 1978,1.85,Right-Handed,,,,9.5M €,"Monte Carlo, Monaco","Karvina, Czech Republic",
Christian Oliver Lee,,,,,,,,,,,
Strong Kirchheimer,USA,26 Apr 1995,1.85,Right-Handed,72,479,4.4K €,40K €,"Cary, North Carolina","Highland Park, Illinois",464 in 02/03/2020
Ricardo Pabon Cuesta,,,,,,,,,,,
Alexander Igoshin,RUS,10 Jan 1992,1.91,Right-Handed,39,619,2.1K €,72.1K €,"Barcelona, Spain","Ivanovo, Russia",494 in 16/05/2016
Korey Lovett,,,,,,,,,,,
Mauricio Echazú,PER,21 Jan 1989,,,47,583,992 €,109.9K €,,,379 in 08/02/2010
Hua-Xuan Wei,,,,,,,,,,,
Cheong-Eui Kim,KOR,23 Mar 1990,,,18,836,358 €,102.3K €,Korea,,296 in 08/06/2015
Ben Mclachlan,,,,,,,,,,,
Martin Rondina,,,,,,,,,,,
Taha Baadi,CAN,19 Jul 2001,1.83,Right-Handed,14,908,758 €,7.1K €,Montreal,"Rabat, Morocco",870 in 24/02/2020
Dušan Lajović,SRB,30 Jun 1990,1.83,Right-Handed,1785,26,771.2K €,4.9M €,"Stara Pazova, Serbia","Belgrade, Serbia",23 in 29/04/2019
Vinayak Sharma Kaza,IND,28 Mar 1991,1.8,Right-Handed,6,1159,345 €,35.2K €,"Visakhapatnam, India",Visakhapatnam,655 in 14/09/2015
Michael Llodra,,,,,,,,,,,
Petros Tsitsipas,GRE,27 Jul 2000,1.85,Right-Handed,11,992,5.5K €,28.1K €,"Athens, Greece","Athens, Greece",1134 in 28/09/2020
Young Seok Kim,KOR,12 May 1995,,Left-Handed,3,1372,,30.7K €,,,469 in 11/04/2016
Alexander Kudryavtsev,RUS,26 Oct 1985,1.83,Right-Handed,,,,758.2K €,"St Petersburg, Russia","Yekaterinburg, Russia",
Mark Philippoussis,AUS,7 Nov 1976,1.96,Right-Handed,,,,5.8M €,"Las Vegas, NV, U.S.A.","Melbourne, Victoria, Australia",
Robby Ginepri,USA,7 Oct 1982,1.83,Right-Handed,,,,3.2M €,"Kennesaw, GA, USA","Fort Lauderdale, FL, USA",
Antonioni Fasano,,,,,,,,,,,
Theo Fournerie,FRA,6 Mar 1997,,Right-Handed,,,,22.3K €,,,
Matthias Wunner,,,,,,,,,,,
Pablo Tellez,,,,,,,,,,,
Isa Mammetgulyyev,TKM,8 Jan 1997,,Left-Handed,,,,8.2K €,,,
Henrique Sousa,,,,,,,,,,,
Filip Krajinović,SRB,27 Feb 1992,1.85,Right-Handed,1628,31,530.1K €,3.1M €,"Belgrade, Serbia","Sombor, Serbia",26 in 23/04/2018
Tihomir Grozdanov,,,,,,,,,,,
Jan Mertl,CZE,3 Jan 1982,1.91,Right-Handed,,,,508.5K €,"Prague, Czech Republic","Usti Nad Labem, Czech Republic",
Zizou Bergs,BEL,3 Jun 1999,1.85,Right-Handed,77,460,2.8K €,35.6K €,"Neerpelt, Belgium","Lommel, Belgium",386 in 17/12/2018
Gianluigi Quinzi,ITA,1 Feb 1996,1.91,Left-Handed,95,406,4.8K €,231.1K €,"Bradenton Florida, USA","Cittadella, Italy",142 in 15/04/2019
Marco Cecchinato,ITA,30 Sep 1992,1.85,Right-Handed,828,80,192.5K €,2.9M €,"Palermo, Italy","Palermo, Italy",16 in 25/02/2019
Marcin Matkowski,,,,,,,,,,,
Francisco Cerundolo,ARG,13 Aug 1998,1.85,Right-Handed,398,159,21.3K €,65K €,"Argentina, Buenos Aires","Buenos Aires, Argentina",223 in 28/09/2020
Jonas Forejtek,CZE,10 Mar 2001,1.8,Right-Handed,115,358,8.8K €,24.6K €,Pilsen,Pilsen,395 in 28/09/2020
Feliciano López,ESP,20 Sep 1981,1.88,Left-Handed,998,64,226.5K €,14.6M €,"Madrid, Spain","Toledo, Spain",12 in 02/03/2015
Jan Šátral,CZE,24 Jul 1990,1.85,Right-Handed,116,356,4.7K €,299.1K €,"Prague, Czech republic","Melnik, Czech Republic",136 in 03/10/2016
Alexander Braun,,,,,,,,,,,
Claudio Fortuna,ITA,19 Apr 1990,,,,,735 €,63.9K €,,,
Matthew Christopher Romios,AUS,29 Mar 1999,1.83,Right-Handed,43,597,2.8K €,24.7K €,Melbourne,Melbourne,563 in 23/09/2019
Hernan Casanova,ARG,6 Feb 1994,1.78,Right-Handed,106,379,4.6K €,110.5K €,"Lomas de Zamora, Buenos Aires","Buenos Aires, Argentina",255 in 21/05/2018
Axel Geller,ARG,1 Apr 1999,1.91,Right-Handed,37,629,,18.1K €,Buenos Aires,Argentina,539 in 05/08/2019
Mohamed Adnaoui,,,,,,,,,,,
Rahul Robinson Manoah,,,,,,,,,,,
Tomislav Ternar,,,,,,,,,,,
Reda El Amrani,MAR,19 May 1988,1.85,Right-Handed,,,,139.4K €,"Mohammedia, Morocco","Casablanca, Morocco",
Jose Daniel Bendeck,COL,24 Dec 1990,1.83,Right-Handed,3,1428,,20.9K €,"Barranquilla, Colombia","Barranquilla, Colombia",1039 in 28/11/2016
Michael Quintero,COL,11 Jul 1980,,Right-Handed,,,,171.4K €,,,
Steven Moneke,,,,,,,,,,,
Pere Riba,ESP,7 Apr 1988,1.83,Right-Handed,,,,1.1M €,"Barcelona, Spain","Barcelona, Spain",
Vladimir Polyakov,RUS,18 Jun 1994,1.78,Right-Handed,,,,28.2K €,"Moscow, Russia","Moscow, Russia",
Dudi Sela,ISR,4 Apr 1985,1.75,Right-Handed,249,232,15.7K €,3.3M €,"Tel Aviv, Israel","Kiryat Shmonna, Israel",29 in 20/07/2009
Yannick Hanfmann,GER,13 Nov 1991,1.93,Right-Handed,728,98,92.2K €,515.1K €,"Munich, Germany","Karlsruhe, Germany",97 in 28/09/2020
Fernando Yamacita,BRA,1 Oct 1997,1.85,Right-Handed,4,1304,260 €,19.4K €,"Sao Paulo, Brazil","Londrina, Brazil",917 in 15/05/2017
Remi Boutillier,FRA,15 Jan 1990,1.88,Right-Handed,,,,72.4K €,"Paris, France","Briançon, France",
Kevin King,USA,28 Feb 1991,1.91,Left-Handed,151,305,5.5K €,251K €,"Atlanta, GA, USA","Atlanta, GA, USA",162 in 07/05/2018
Andreas Beck,GER,5 Feb 1986,1.91,Left-Handed,,,,1.3M €,"Stuttgart, Germany","Weingarten, Germany",
Chuhan Wang,CHN,24 Feb 1992,1.88,Right-Handed,11,973,,101.1K €,"Beijing, China","Dalian, China",365 in 20/04/2015
Kei Nishikori,JPN,29 Dec 1989,1.78,Right-Handed,1345,41,137.2K €,20M €,"Bradenton, FL, USA","Shimane, Japan",4 in 02/03/2015
Maksim Kan,,,,,,,,,,,
Miomir Kecmanović,SRB,31 Aug 1999,1.83,Right-Handed,1308,44,302.5K €,1.4M €,"Bradenton, FL, USA","Belgrade, Serbia",39 in 14/09/2020
Boris Kozlov,,,,,,,,,,,
Antoine Escoffier,FRA,29 Feb 1992,1.85,Right-Handed,103,389,3.5K €,90.9K €,Cannes,Le Pont-De-Beauvoisin,327 in 03/02/2020
Camilo Ponce,,,,,,,,,,,
Petru-Alexandru Luncanu,ROU,7 May 1989,1.85,Left-Handed,6,1181,260 €,128.8K €,"Bucharest, Romania","Bucharest, Romania",304 in 02/11/2009
Malek Jaziri,TUN,20 Jan 1984,1.85,Right-Handed,219,248,38.2K €,3.2M €,"Tunis, Tunisia","Bizerte, Tunisia",42 in 07/01/2019
Alexandre Tsuchiya,BRA,5 Dec 1992,1.8,Right-Handed,,,,35.7K €,"Sao paulo,brazil",Sao paulo,
Bruno Soares,,,,,,,,,,,
Luca Georg Tatomir,ROU,21 Aug 1995,1.91,Right-Handed,,,,17.8K €,"Bucharest, Romania","Bucharest, Romania",
Andrey Kuznetsov,RUS,22 Feb 1991,1.85,Right-Handed,62,516,84K €,2.3M €,"Balashikha, Russia","Tula, Russia",39 in 25/04/2016
Roy Hobbs,,,,,,,,,,,
Michal Konečný,CZE,13 Oct 1989,1.83,Left-Handed,31,685,990 €,157.4K €,"Prostejov, Czech Republic","Vysoke Myto, Czech Republic",285 in 25/07/2016
Tung-Lin Wu,TPE,12 May 1998,1.88,Right-Handed,223,243,13.9K €,77.6K €,Chinese Taipei,"Taichung, Chinese Taipei",213 in 10/02/2020
Yecong He,CHN,15 Feb 1994,1.8,Right-Handed,38,623,390 €,81.7K €,,"Hang Zhou, China",492 in 27/06/2016
Gregoire Barrere,FRA,16 Feb 1994,1.83,Right-Handed,647,108,221.9K €,928.2K €,Saint Maur Des Fosses,"Charenton-le-Pont, France",80 in 07/10/2019
Jonas Luetjen,GER,13 Aug 1990,1.88,Right-Handed,,,,23.1K €,Germany,Rotenburg,
Filip Horanský,SVK,7 Jan 1993,1.91,Right-Handed,345,185,65.8K €,266.4K €,"Piestany, Slovakia","Piestany, Slovakia",161 in 20/05/2019
Florian Barth,,,,,,,,,,,
Alejandro Tabilo,CHI,2 Jun 1997,1.88,Left-Handed,374,173,105.7K €,186.3K €,"Huechuraba, Santiago, Chile","Toronto, Canada",156 in 14/09/2020
Aisam-Ul-Haq Qureshi,,,,,,,,,,,
Pol Wattanakul,THA,3 Aug 1995,,,4,1329,432 €,20K €,,,593 in 27/05/2019
Joao Antonio,,,,,,,,,,,
Axel Michon,FRA,16 Dec 1990,,,,,130 €,288K €,,,
Ramkumar Ramanathan,IND,8 Nov 1994,1.88,Right-Handed,340,190,21.9K €,598.1K €,"Chennai, India","Chennai, India",111 in 30/07/2018
Karl Wegner,,,,,,,,,,,
Marcelo Arévalo,ESA,17 Oct 1990,1.91,Right-Handed,82,443,2K €,586.1K €,"Sonsonate, El Salvador","Sonsonate, El Salvador",139 in 02/07/2018
František Čermák,,,,,,,,,,,
Sarvar Ikramov,,,,,,,,,,,
Moritz Baumann,,,,,,,,,,,
Jesse Witten,USA,15 Oct 1982,1.78,Right-Handed,,,215 €,335.1K €,"Naples, Florida, USA","Naples, Florida, USA",
Luke Saville,AUS,2 Jan 1994,1.88,Right-Handed,110,370,25.2K €,691.3K €,"Barmera, Australia","Barmera, Australia",152 in 23/02/2015
Alexandar Lazarov,BUL,6 Nov 1997,1.91,Right-Handed,55,546,24.9K €,76.9K €,"Sofia, Bulgaria","Miami, FL, USA",482 in 08/04/2019
Tomas Lipovsek Puches,SLO,17 Apr 1993,1.83,Right-Handed,39,618,1.1K €,119.9K €,,Buenos Aires,250 in 25/04/2016
Duncan W.,,,,,,,,,,,
Chase Buchanan,USA,4 Jun 1991,1.93,Right-Handed,,,,180.1K €,"Columbus, Ohio, U.S.A.","Columbus, Ohio, U.S.A.",
Moldova,,,,,,,,,,,
Erik Chvojka,,,,,,,,,,,
Colin Fleming,,,,,,,,,,,
Victor Crivoi,ROU,25 May 1982,1.85,Right-Handed,,,,522.7K €,"Bucharest, Romania","Bucharest, Romania",
Ryan Peniston,GBR,10 Nov 1995,1.83,Left-Handed,105,382,3K €,49.3K €,"Southend-on-sea, England","Southend-on-sea, Essex",359 in 04/11/2019
Igor Zelenay,,,,,,,,,,,
Tsung-Hua Yang,TPE,29 Mar 1991,1.78,Right-Handed,113,364,3.1K €,434.2K €,"Hsinchu, Taiwan","Hsinchu, Taiwan",164 in 14/05/2012
Andre Begemann,GER,12 Jul 1984,1.88,Right-Handed,,,,661.3K €,"Königstein, Germany","Lemgo, Germany",
Chris Guccione,,,,,,,,,,,
Edward Bourchier,AUS,14 Nov 1988,1.88,Right-Handed,,,260 €,10.7K €,"Hobart, Australia","Hobart, Australia",
Yu Takahashi,,,,,,,,,,,
Kaichi Uchida,JPN,23 Aug 1994,,Right-Handed,132,329,4.3K €,156.7K €,,,237 in 01/07/2019
Tobias Hinzmann,,,,,,,,,,,
Vincent Millot,FRA,30 Jan 1986,1.73,Left-Handed,12,949,,790K €,"Dijon, France","Montpellier, France",135 in 10/10/2016
Hugo Gaston,FRA,26 Sep 2000,1.73,Left-Handed,390,162,60.6K €,142.7K €,Fonsorbes,Toulouse,223 in 02/03/2020
Juan Manuel Matute,,,,,,,,,,,
Fernando Verdasco,ESP,15 Nov 1983,1.88,Left-Handed,975,65,162K €,14.7M €,"Doha, Qatar","Madrid, Spain",7 in 20/04/2009
Sam Groth,AUS,19 Oct 1987,1.93,Right-Handed,,,,1.6M €,"Melbourne, Australia","Narrandera, Australia",
Jorge Plans,,,,,,,,,,,
Koray Kirci,TUR,17 Aug 1998,,,13,942,,17.7K €,,,868 in 30/07/2018
Orlando Luz,BRA,8 Feb 1998,1.8,Right-Handed,145,309,7.5K €,108.5K €,"Barcelona, Spain","Carazinho, Brazil",292 in 04/11/2019
Laurynas Grigelis,LTU,14 Aug 1991,1.83,Right-Handed,90,420,358 €,284.9K €,Castelli Calepio,"Klaipeda, Lithuania",183 in 09/07/2012
Alexander Erler,AUT,27 Oct 1997,1.93,Right-Handed,70,489,4.7K €,49.5K €,Kufstein,Innsbruck,398 in 03/12/2018
Scott Nicolas,,,,,,,,,,,
Temur Ismailov,UZB,14 Jan 1995,,,,,,60.7K €,,,
Ivo Klec,SVK,28 Nov 1980,1.83,Right-Handed,,,,351.1K €,"Bratislava, Slovakia","Bratislava, Slovakia",
Antal Van Der Duim,NED,16 Sep 1987,1.85,Right-Handed,,,,169.6K €,"Amsterdam, Netherlands","Heerenveen, Netherlands",
Louis Tessa,FRA,6 Apr 1998,1.83,Right-Handed,21,798,1.5K €,24.3K €,"Cavalaire Sur Mer, France","Lyon, France",777 in 24/08/2020
Michael Linzer,AUT,2 Nov 1989,1.8,Right-Handed,,,,133K €,"Bad Erlach, Austria","Oberpullendorf, Austria",
Blade Fong,,,,,,,,,,,
Yannick Thivant,FRA,22 Jan 1987,1.8,Right-Handed,,,,13.1K €,Paris,Sucy En Brie,
Sandor Noszaly,,,,,,,,,,,
Daniil Medvedev,RUS,11 Feb 1996,1.98,Right-Handed,8470,4,1.4M €,10.1M €,"Monte Carlo, Monaco","Moscow, Russia",4 in 09/09/2019
Andre Sá,,,,,,,,,,,
Michal Przysiezny,POL,16 Feb 1984,1.85,Right-Handed,,,,1.1M €,"Wroclaw, Poland","Glogow, Poland",
Denis Shapovalov,CAN,15 Apr 1999,1.85,Left-Handed,2830,12,802.5K €,4.7M €,"Nassau, Bahamas","Tel Aviv, Israel",10 in 21/09/2020
Pedja Krstin,SRB,3 Sep 1994,1.83,Right-Handed,204,267,32.7K €,350.6K €,"Mokrin, Serbia","Mokrin, Serbia",159 in 09/05/2016
Martin Redlicki,USA,24 Aug 1995,1.96,Left-Handed,61,528,3K €,77.6K €,"Boca Raton, FL, USA","Chicago, IL, USA",381 in 29/04/2019
Ilya Vasilyev,RUS,22 Jun 1996,1.83,Right-Handed,,,,21.1K €,,"Prague, Czech Repbulic",
Michael Grant,,,,,,,,,,,
Jaume Munar,ESP,5 May 1997,1.83,Right-Handed,646,109,184.3K €,1.3M €,"Santanyi, Mallorca, Spain","Santanyi, Mallorca, Spain",52 in 20/05/2019
Viktor Galović,CRO,19 Sep 1990,1.93,Right-Handed,177,284,52.7K €,314.7K €,"Bussero, Italy","Nova Gradiska, Croatia",173 in 14/05/2018
Cedrik-Marcel Stebe,GER,9 Oct 1990,1.8,Left-Handed,529,125,77.8K €,1.1M €,"Munich, Germany","Muehlacker, Germany",71 in 13/02/2012
Alexander Klintcharov,NZL,25 Aug 1996,,Right-Handed,3,1428,,6.6K €,,,1192 in 09/09/2019
Vasek Pospisil,CAN,23 Jun 1990,1.93,Right-Handed,1006,61,359K €,5.1M €,"Freeport, Bahamas","Vernon, Canada",25 in 27/01/2014
Zihao Xia,CHN,30 Jan 1997,,Right-Handed,10,1020,,45.4K €,"Hefei, China","Hefei, China",353 in 07/01/2019
Maxime Cressy,USA,8 May 1997,2.01,Right-Handed,384,168,112.2K €,191.5K €,Hermosa Beach,"Paris, France",157 in 14/09/2020
Rajeev Ram,USA,18 Mar 1984,1.93,Right-Handed,,,,3.9M €,"Carmel, IN, USA","Denver, CO, USA",
Thomas Oger,,,,,,,,,,,
Steve Darcis,BEL,13 Mar 1984,1.75,Right-Handed,196,272,111.9K €,2.9M €,"Dolembreux, Belgium","Liege, Belgium",38 in 22/05/2017
Taro Daniel,JPN,27 Jan 1993,1.91,Right-Handed,581,116,100.6K €,1.6M €,"Bradenton, FL, USA","New York, NY, USA",64 in 27/08/2018
Bogdan Ionut Apostol,ROU,17 Jan 1996,1.83,Right-Handed,24,753,822 €,37.9K €,Bucharest,Iasi,569 in 17/12/2018
Pavol Cervenak,,,,,,,,,,,
Novak Djokovic,SRB,22 May 1987,1.88,Right-Handed,12030,1,4.9M €,121M €,"Monte Carlo, Monaco","Belgrade, Serbia",1 in 04/07/2011
Giovanni Lapentti,ECU,25 Jan 1983,1.93,Right-Handed,,,,490.3K €,"Guayaquil/Miami, Florida, USA","Guayaquil, Ecuador",
Guido Pella,ARG,17 May 1990,1.83,Left-Handed,1310,43,346.7K €,4.1M €,"Buenos Aires, Argentina","Bahia Blanca, Argentina",20 in 19/08/2019
Kevin Krawietz,GER,24 Jan 1992,1.88,Right-Handed,35,641,3.4K €,950K €,"Coburg, Germany","Coburg, Germany",211 in 17/12/2018
Sergio Galdós,,,,,,,,,,,
Máté Valkusz,HUN,13 Aug 1998,1.83,Right-Handed,50,565,,47.3K €,Hungary,"Budapest, Hungary",243 in 17/12/2018
Alexander Zhurbin,RUS,14 Jan 1992,1.78,Left-Handed,59,534,822 €,76K €,Russia,MOSCOW,331 in 17/12/2018
Sriram Balaji N.,IND,18 Mar 1990,1.8,Right-Handed,6,1153,,202.8K €,India,"Coimbatore, India",287 in 19/06/2017
Eric Quigley,USA,30 Jan 1989,1.85,Right-Handed,,,,102.2K €,"Louisville, KY, U.S.A","Cincinnati, OH, U.S.A",
Clay Thompson,USA,4 May 1992,1.98,Right-Handed,,,,25K €,"Venice Beach, CA, USA","Venice Beach, CA, USA",
Germany,,,,,,,,,,,
Jassem Al Zeyara,,,,,,,,,,,
Valery Rudnev,,,,,,,,,,,
Máximo Gonzalez,ARG,20 Jul 1983,1.75,Right-Handed,,,,1.9M €,"Tandil, Argentina","Tandil, Argentina",
Anthony Delcore,,,,,,,,,,,
Daniel Windahl,,,,,,,,,,,
Agustin Velotti,ARG,24 May 1992,,Right-Handed,104,384,3.2K €,252K €,,,166 in 16/09/2013
Juan Ignacio Batalla,MEX,,,Left-Handed,,,,4.5K €,"La Paz, Mexico","Mexico City, Mexico",
Francois Arthur Vibert,FRA,3 Aug 1990,1.88,Left-Handed,,,,56.8K €,"Lyon, France","Bron, France",
Yannick Mertens,BEL,25 Jun 1987,1.85,Right-Handed,73,474,2.3K €,420.2K €,"Ternat, Belgium","Anderlecht, Belgium",179 in 17/08/2015
Tuna Altuna,,,,,,,,,,,
Benjamin Bonzi,FRA,9 Jun 1996,1.83,Right-Handed,388,165,108.2K €,404.9K €,"Anduze, France","Nimes, France",176 in 16/10/2017
Hunter Koontz,,,,,,,,,,,
Pierre Hugues Herbert,FRA,18 Mar 1991,1.88,Right-Handed,812,83,178.7K €,6.3M €,"Delemont, Switzerland","Schiltigheim, France",36 in 11/02/2019
Zhizhen Zhang,CHN,16 Oct 1996,1.93,Right-Handed,389,164,20.7K €,273.5K €,"Shanghai, China","Shanghai, China",136 in 10/02/2020
Antoine Benneteau,,,,,,,,,,,
Nicolas Reissig,AUT,7 Apr 1989,1.85,Right-Handed,,,,59.3K €,"Schleedorf Salzburg, Austria","Oberndorf Salzburg, Austria",
Tigre Hank,MEX,30 Sep 1991,1.88,Left-Handed,21,791,345 €,87.8K €,,,416 in 23/11/2015
Filip Veger,,,,,,,,,,,
Alexandre Massa,,,,,,,,,,,
John Mcnally,USA,18 Oct 1998,1.83,Right-Handed,39,614,933 €,30.3K €,"Cincinnati, OH, USA","Cincinnati, OH, USA",470 in 29/07/2019
Lukáš Rosol,CZE,24 Jul 1985,1.93,Right-Handed,327,199,46K €,3.7M €,"Prague, Czech Republic","Brno, Czech Republic",26 in 22/09/2014
Andrew Harris,AUS,7 Mar 1994,1.83,Right-Handed,251,229,57.2K €,196.6K €,Australia,Box Hill,159 in 11/11/2019
Andrey Yakovlev,,,,,,,,,,,
Constant Lestienne,FRA,23 May 1992,1.8,Right-Handed,255,225,51.8K €,374.4K €,"Paris, France","Amiens, France",142 in 14/01/2019
Gerard Granollers,ESP,30 Jan 1989,1.83,Right-Handed,17,854,955 €,338K €,,,217 in 05/08/2013
Facundo Arguello,ARG,4 Aug 1992,1.78,Right-Handed,117,353,5.2K €,494.7K €,"Cordoba, Argentina","Cordoba, Argentina",104 in 14/04/2014
Christian Seraphim,GER,,2.06,Right-Handed,,,,12.6K €,Munich,Munich,
Jenson Brooksby,USA,26 Oct 2000,1.88,Right-Handed,149,307,,150.9K €,"Carmichael, CA, USA","Sacramento, CA, USA",266 in 25/11/2019
Oscar Hernandez Perez,,,,,,,,,,,
Jimmy Wang,TPE,8 Feb 1985,1.8,Right-Handed,,,,956.8K €,"Taipei, Chinese Taipei",Saudi Arabia,
Alexander Ward,GBR,30 Apr 1990,1.85,Right-Handed,,,,232.5K €,"Northampton, Great Britain","Northampton, Great Britain",
Jan Hernych,CZE,7 Jul 1979,1.88,Right-Handed,,,,1.8M €,"Prague, Czech Republic","Prague, Czech Republic",
David Ferrer,ESP,2 Apr 1982,1.75,Right-Handed,,,,26.2M €,"Valencia, Spain","Javea, Spain",
Sanjar Fayziev,UZB,29 Jul 1994,1.88,Right-Handed,63,511,1K €,104.4K €,"Tashkent, Uzbekistan","Tashkent, Uzbekistan",253 in 17/07/2017
Jean-Yves Aubone,USA,10 Jan 1988,1.78,Right-Handed,,,,41.9K €,"Miami, Florida, USA","Miami, Florida, USA",
Daniel Appelgren,SWE,6 May 1996,1.75,Right-Handed,,,,19.6K €,"Stockholm, Sweden","Borås, Sweden",
Zhuoyang Qiu,,,,,,,,,,,
Adrian Ungur,ROU,22 Jan 1985,1.78,Right-Handed,,,,801.5K €,"Bucharest, Romania","Pitesti, Romania",
Nicolas Mahut,FRA,21 Jan 1982,1.91,Right-Handed,239,236,14.5K €,9.5M €,"Boulogne-Billancourt, France","Angers, France",37 in 05/05/2014
Václav Šafránek,CZE,20 May 1994,1.85,Right-Handed,125,341,2.5K €,235.4K €,"Brno, Czech Republic","Brno, Czech Republic",191 in 06/11/2017
Frank Dancevic,CAN,26 Sep 1984,1.85,Right-Handed,,,,1.6M €,"Niagara Falls, Canada","Niagara Falls, Canada",
Mats Moraing,GER,20 Jun 1992,1.98,Left-Handed,222,245,43.4K €,284.3K €,"Mülheim an der Ruhr, Germany","Mulheim an der Ruhr, Germany",148 in 30/07/2018
Greg Ouellette,,,,,,,,,,,
Alan Magadan,,,,,,,,,,,
Sebastian Lopez,,,,,,,,,,,
Matteo Gigante,ITA,4 Jan 2002,1.78,Left-Handed,16,865,5K €,8.1K €,,Rome,866 in 31/08/2020
Evgeny Donskoy,RUS,9 May 1990,1.85,Right-Handed,540,123,129.1K €,2.5M €,"Moscow, Russia","Moscow, Russia",65 in 08/07/2013
Nicolaas Scholtz,RSA,5 Feb 1991,,Right-Handed,,,,78K €,"Caledon, South Africa","Caledon, South Africa",
Gilles Simon,FRA,27 Dec 1984,1.83,Right-Handed,1005,63,303.2K €,12.7M €,"Boulogne-Billancourt, France","Nice, France",6 in 05/01/2009
Sergiy Stakhovsky,UKR,6 Jan 1986,1.93,Right-Handed,322,202,49.7K €,4.5M €,"Kharkov, Ukraine","Kiev, Ukraine",31 in 27/09/2010
Congsup Congcar,THA,21 Aug 1996,1.75,Right-Handed,6,1185,563 €,18.3K €,"Bangkok, Thailand","Bangkok, Thailand",956 in 22/10/2018
Lukáš Dlouhý,,,,,,,,,,,
Nicholas S. Hu,USA,24 Apr 1994,1.83,Right-Handed,,,,23.7K €,"Palo Alto, CA",Palo Alto,
Mikael Ymer,SWE,9 Sep 1998,1.83,Right-Handed,763,94,186.6K €,648.4K €,"Stockholm, Sweden","Skovde, Sweden",67 in 02/03/2020
Loic Perret,SUI,8 Jun 1994,1.88,Right-Handed,,,,23.5K €,Geneva,Noumea,
Younes Rachidi,,,,,,,,,,,
Liam Broady,GBR,4 Jan 1994,1.83,Left-Handed,340,188,22.1K €,518.5K €,"Stockport, Great Britain","Stockport, England",154 in 02/04/2018
Gibril Diarra,AUT,26 May 1990,1.96,Right-Handed,7,1139,260 €,44K €,Vienna,Vienna,594 in 11/09/2017
Franco Feitt,ARG,3 Sep 1992,1.93,Right-Handed,12,959,130 €,27.5K €,"Buenos Aires, Argentina","Rio Gallegos, Argentina",920 in 13/01/2020
Aoran Wang,CHN,5 Feb 1997,1.91,Right-Handed,,,1.9K €,32K €,Dalian,Dalian,
Tiago Lopes,BRA,27 Nov 1986,,,,,,96.8K €,Brazil,,
Ty Trombetta,USA,21 May 1990,1.88,Right-Handed,,,,17.5K €,"Miami, Florida, USA","Miami, Florida, USA",
Marcelo Tomás Barrios Vera,CHI,10 Dec 1997,1.91,Right-Handed,214,254,22.7K €,89.1K €,Santiago,"Chillan, Chile",279 in 19/08/2019
Amir Weintraub,ISR,16 Sep 1986,1.85,Right-Handed,,,,373.3K €,Israel,"Rehovot, Israel",
Mardy Fish,USA,9 Dec 1981,1.88,Right-Handed,,,,6.2M €,"Los Angeles, California","Edina, Minnesota, USA",
Joao Pedro De Souza,,,,,,,,,,,
Hugo Dellien,BOL,16 Jun 1993,1.8,Right-Handed,638,110,151.9K €,787.1K €,"Trinidad, Beni, Bolivia","Trinidad, Bolivia",72 in 13/01/2020
Mauricio Perez Mota,,,,,,,,,,,
Richard Becker,GER,29 Jan 1991,,,,,,43.1K €,,,
Jason Kubler,AUS,19 May 1993,1.78,Right-Handed,210,259,16.5K €,475.4K €,"Brisbane, Australia","Brisbane, Australia",91 in 08/10/2018
Alexandr Kushakov,,,,,,,,,,,
Fedor Chervyakov,,,,,,,,,,,
Suraj R Prabodh,IND,8 Jan 1995,1.88,Right-Handed,,,650 €,15.4K €,"Mysore, India","Bangalore, India",
Johan Brunstrom,,,,,,,,,,,
