name,nationality,birth_date,height,hand,rank,position,prize_money_year,prize_money_total,residence,birthplace,best_rank
Bloom S.,,,,,,,,,,,
Alex de Minaur,AUS,17 Feb 1999,1.83,Right-Handed,1860,23,670.9K €,3.6M €,"Alicante, Spain","Sydney, Australia",18 in 28/10/2019
Greg Jones,AUS,31 Jan 1989,1.93,Right-Handed,,,,281.7K €,"Sydney, Australia","Sydney, Australia",
Bastian Trinker,AUT,11 May 1990,1.88,Right-Handed,2,1484,,84.6K €,Portschach am Woerthersee,Portschach am Worthersee,241 in 21/12/2015
Austin Krajicek,USA,16 Jun 1990,1.88,Left-Handed,,,,881.2K €,"Bryan, TX, USA","Tampa, FL, USA",
Sebastian Korda,USA,5 Jul 2000,1.96,Right-Handed,563,118,78.4K €,174.1K €,"Bradenton, FL, USA","Bradenton, FL, USA",205 in 31/08/2020
Julian Lenz,GER,17 Feb 1993,1.88,Right-Handed,222,246,25.4K €,113.7K €,"Gruenberg, Germany","Giessen, Germany",227 in 06/01/2020
Nicolas Barrientos,COL,24 Apr 1987,1.75,Right-Handed,21,794,1.2K €,197.7K €,"Cali, Colombia","Cali, Colombia",237 in 21/09/2015
Marcel Granollers,ESP,12 Apr 1986,1.91,Right-Handed,367,175,,9.2M €,"Barcelona, Spain","Barcelona, Spain",19 in 23/07/2012
Zane Khan,USA,,,,11,980,842 €,7.6K €,,,984 in 17/02/2020
Johannes Haerteis,GER,22 Feb 1996,1.96,Left-Handed,152,304,6.3K €,66.5K €,Postbauer-Heng,Nuremberg,326 in 12/10/2020
Lorenzo Musetti,ITA,3 Mar 2002,1.85,Right-Handed,509,128,130.3K €,151.9K €,Carrara,"Carrara, Italy",138 in 28/09/2020
Jose Pereira,BRA,26 Jan 1991,1.8,Right-Handed,6,1176,1.3K €,130K €,"Curitiba-Parana, Brazil","Santana do Ipanema, Brazil",232 in 14/09/2015
José Checa-Calvo,,,,,,,,,,,
Krisjanis Stabins,,,,,,,,,,,
Marc Giner,ESP,18 Jun 1991,1.83,Right-Handed,,,,122.7K €,"Valencia, Spain","Pego, Spain",
Stefanos Tsitsipas,GRE,12 Aug 1998,1.93,Right-Handed,5925,6,1M €,9.7M €,"Nicosia, Cyprus","Athens, Greece",5 in 05/08/2019
Jaume Pla Malfeito,ESP,3 Jun 1995,,Right-Handed,51,562,1.1K €,73.7K €,"Barcelona, Spain","Barcelona, Spain",501 in 05/08/2019
Facundo Díaz Acosta,ARG,15 Dec 2000,1.83,Left-Handed,95,407,12.1K €,28K €,Buenos Aires,"Buenos Aires, Argentina",402 in 16/03/2020
Niels Desein,BEL,9 Jun 1987,1.91,Right-Handed,,,,343.8K €,"Oostende, Belgium","Gent, Belgium",
Tommy Paul,USA,17 May 1997,1.85,Right-Handed,1065,54,298.2K €,891.6K €,"Greenville, NC, USA","Voorhees, NJ, USA",57 in 02/03/2020
Édouard Roger-Vasselin,FRA,28 Nov 1983,1.88,Right-Handed,,,,4.5M €,"Boulogne-Billancourt, France","Gennevilliers, France",
Ryan Nijboer,NED,28 Jul 1999,1.8,Right-Handed,29,708,4.9K €,33.7K €,Dronten,Lelystad,502 in 15/04/2019
Jan Oliver Sadlowski,,,,,,,,,,,
Vishnu Vardhan,IND,27 Jul 1987,1.88,Right-Handed,,,,190.3K €,"Secuderabad, India","Secuderabad, India",
Potito Starace,ITA,14 Jul 1981,1.88,Right-Handed,,,,3.2M €,"Cervinara, Italy","Benevento, Italy",
Bjorn Fratangelo,USA,19 Jul 1993,1.83,Right-Handed,195,273,2.7K €,1M €,"Orlando, FL, USA","Pittsburgh, PA, USA",99 in 06/06/2016
Pedro Boscardin Dias,,,,,,,,,,,
Casper Ruud,NOR,22 Dec 1998,1.83,Right-Handed,1739,27,636.3K €,1.9M €,"Oslo, Norway","Oslo, Norway",25 in 28/09/2020
Ismail Saadi,,,,,,,,,,,
Daniel Brands,GER,17 Jul 1987,1.96,Right-Handed,27,717,,1.8M €,"Bogen, Germany","Deggendorf, Germany",51 in 19/08/2013
Marco Chiudinelli,SUI,10 Sep 1981,1.85,Right-Handed,,,,1.7M €,"Basel, Switzerland","Basel, Switzerland",
Dane Propoggia,AUS,24 Apr 1990,,,,,,126.2K €,,,
Calum Puttergill,AUS,22 Oct 1993,1.83,Right-Handed,30,692,1.7K €,34.2K €,"Noosa Heads, Australia","Umtata, South Africa",663 in 24/02/2020
Lance Cohen,,,,,,,,,,,
Roger Federer,SUI,8 Aug 1981,1.85,Right-Handed,6630,5,595.7K €,108.3M €,Switzerland,"Basel, Switzerland",1 in 02/02/2004
Dragos Nicolae Madaras,SWE,12 Sep 1997,1.91,Left-Handed,22,777,2.1K €,30.6K €,Sweden,"Deva, Romania",624 in 22/10/2018
Henrik Sillanpaa,,,,,,,,,,,
Guy Den Heijer,NED,30 Mar 1997,,,23,768,1.3K €,19.7K €,,,751 in 24/08/2020
Pedro Cachin,ARG,12 Apr 1995,1.85,Right-Handed,111,367,13.4K €,208.5K €,"Bell Ville, Argentina","Bell Ville, Argentina",166 in 14/09/2015
Fabio Fognini,ITA,24 May 1987,1.78,Right-Handed,2400,17,496.3K €,12.5M €,"Arma di Taggia, Italy","Sanremo, Italy",9 in 15/07/2019
Edward Winter,,,,,,,,,,,
Eric Prodon,,,,,,,,,,,
Ryan James Storrie,GBR,28 Feb 1998,,Right-Handed,13,928,,21.1K €,,"Dorchester, England",626 in 30/04/2018
Xin Gao,CHN,12 May 1994,1.8,Right-Handed,16,880,,126.2K €,,Tianjin,434 in 07/11/2016
Ismar Gorcic,,,,,,,,,,,
Jose Fernando Carvajal Torres,,,,,,,,,,,
Efe Yurtacan,,,,,,,,,,,
Peter Kobelt,USA,17 Nov 1990,2.01,Right-Handed,27,720,130 €,64.6K €,"Columbus, OH/Tel Aviv, Israel","Cincinnati, OH, USA",332 in 16/05/2016
Evan Hoyt,GBR,16 Jan 1995,1.85,Right-Handed,76,465,2.4K €,76.9K €,"Llanelli, United Kingdom","Torreon, Mexico",319 in 16/09/2019
Igor Sijsling,NED,18 Aug 1987,1.91,Right-Handed,176,286,11.2K €,1.8M €,"Amsterdam, Netherlands","Amsterdam, Netherlands",52 in 17/02/2014
Zhao-Tai Li,,,,,,,,,,,
Mikael Torpegaard,DEN,8 May 1994,1.93,Right-Handed,340,189,32.2K €,141.5K €,United States,"Gentofte, Denmark",166 in 06/01/2020
Pavel Krainik,CAN,28 Sep 1992,,Right-Handed,4,1321,,63.2K €,"Toronto, Canada","Volgodonsk, Russia",489 in 08/04/2019
